"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test - create record twice ","testcase.ACS","Thu May 22 18:34:07 CST 2025","skipped","Thu May 22 18:34:07 CST 2025","TestACSAPI","test_api_acs","",""
"","0","Test - crud record ","testcase.ACS","Thu May 22 18:34:15 CST 2025","broken","Thu May 22 18:34:15 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","494","Test - Query device count with different paramters:{'hardwareSerialnumber': '632410013588'}","testcase.ACS","Thu May 22 18:34:27 CST 2025","failed","Thu May 22 18:34:28 CST 2025","TestDevice","test_device","",""
"","492","Test - Query device count with different paramters:{'manufacturerOUI': 'E46CD1'}","testcase.ACS","Thu May 22 18:34:24 CST 2025","failed","Thu May 22 18:34:24 CST 2025","TestDevice","test_device","",""
"","1071","Test - test the paramter are case-insensitive ","testcase.ACS","Thu May 22 18:36:04 CST 2025","passed","Thu May 22 18:36:05 CST 2025","TestWorkflow","test_workflow","",""
"","1209","Test - Query device with different paramters:{}","testcase.ACS","Thu May 22 18:34:52 CST 2025","passed","Thu May 22 18:34:53 CST 2025","TestDevice","test_device","",""
"","534","Test - crud record ","testcase.ACS","Thu May 22 18:36:13 CST 2025","broken","Thu May 22 18:36:13 CST 2025","TestWorkflow","test_workflow","",""
"","506","Test - Query device with different paramters:{'createTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 22 18:34:43 CST 2025","failed","Thu May 22 18:34:44 CST 2025","TestDevice","test_device","",""
"","596","Test - Query device count with different paramters:{'macAddress': 'e4:6c:d1:43:44:0e'}","testcase.ACS","Thu May 22 18:34:30 CST 2025","passed","Thu May 22 18:34:30 CST 2025","TestDevice","test_device","",""
"","1335","Test - get all the system groups","testcase.ACS","Thu May 22 18:35:58 CST 2025","passed","Thu May 22 18:36:00 CST 2025","TestSystemGroup","test_system_group","",""
"","495","Test - can not delete group associated with group","testcase.ACS","Thu May 22 18:35:45 CST 2025","passed","Thu May 22 18:35:45 CST 2025","TestSystemGroup","test_system_group","",""
"","642","Test - get provisioning record list","testcase.ACS","Thu May 22 18:35:40 CST 2025","passed","Thu May 22 18:35:41 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - create a static group member to givin group","testcase.ACS","Thu May 22 18:35:45 CST 2025","skipped","Thu May 22 18:35:45 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","582","Test - Query device with different paramters:{'lastBootTime': '2025-04-09T03:35:35.238Z'}","testcase.ACS","Thu May 22 18:34:57 CST 2025","passed","Thu May 22 18:34:57 CST 2025","TestDevice","test_device","",""
"","504","Test - Query device with different paramters:{'orderBy': 'createTime'}","testcase.ACS","Thu May 22 18:34:47 CST 2025","failed","Thu May 22 18:34:48 CST 2025","TestDevice","test_device","",""
"","1418","Test - ae","testcase.ACS","Thu May 22 18:35:14 CST 2025","passed","Thu May 22 18:35:15 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
